Category Breakdown,Plant Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakery,Yes,,Group,TOTALS,Bakery,Beans,Beef,Cheese,Chicken,Coffee and Tea,Dairy,Dry Goods,Eggs,Fish,Frozen,Fruits,Grains,Liquids,Meat,Milk,Nuts,Oils,Pork,Potatoes,Spices,Sugars,Turkey,Veg Protein,Vegetables
Beans,No,USFoods,1,2763645.82,372839.37,63995.55,90073.6,166029.35,256235.27,11044.82,78477.1,508059.4,129745.71,69964.92,174696.17,63837.03,47075.82,69953.84,6106.59,12807.3,30900.53,98368.52,99562.3,90117.45,8692.6,27743.88,21050.24,198000.03,68268.43
Beef,Maybe,Black River Produce,1,1783164.8,8900.42,7197.24,43971.29,35851.21,19206.37,0,53187.6,19076.45,13953.6,37895.39,3871.5,462510.43,1846.6,25318.78,799.02,8084.45,641.41,3363.26,35057.03,34006.91,4121.11,1011.25,12151.39,85401.27,865740.82
Cheese,,"Gordon Food Service, Inc.",1,85364.55,31457.08,214.3,373.07,0,766.66,0,1935.15,22844.38,33.43,3033.07,1323.67,525.01,603.51,14087.09,134.64,40.06,1675.18,331.74,146.91,0,620.62,969.64,943.83,2994.03,311.48
Chicken,,United Natural Foods Inc.,1,82587.06,22717.48,742.27,0,0,1520.01,19.86,21.31,12764.43,0,56.08,7396.78,73.21,7211,467.02,0,0,82.53,4331.35,1823.7,49.14,1670,704.89,790.4,20145.6,0
Coffee and Tea,,Arnolds Meats,1,224101.12,405,0,172274.77,0,19992.35,0,0,0,0,0,480,0,0,0,15664.24,0,0,0,487.49,0,0,0,14149.67,647.6,0
Dairy,,"Wulf Fish Wholesale, LLC",1,170664.08,,,,,,,,,,"$170,664.08",,,,,,,,,,,,,,,
Dry Goods,,Outlook Farm,0,87405,,,,,,,,,,,,,,,,,,,,,,,,,"$87,405.00"
Eggs,,"Marty's Local, Inc.",1,76628.77,13835.08,2884.66,159.33,0,0,540.12,5535.39,3010.72,372.54,0,250.62,4516.34,0,9144.78,0,86.46,0,287.96,2992.42,788.23,0,362.56,0,2591.85,29269.71
Fish,,Sun Coffee Roasters,1,66041.95,,,,,,"$66,041.95",,,,,,,,,,,,,,,,,,,
Frozen,,Maple Valley Creamery,0,62330.7,,,,,,,"$62,330.70",,,,,,,,,,,,,,,,,,
Fruits,,High Lawn Holdings LLC,0,51998.2,,,,,,,,,,,,,,,,"$51,998.20",,,,,,,,,
Grains,,Esselon Coffee Roasting Co. Inc.,1,43268.73,,,,,,"$43,268.73",,,,,,,,,,,,,,,,,,,
Liquids,,"Duva Distributors, Inc.",1,"$36,737.22","$36,737.22",,,,,,,,,,,,,,,,,,,,,,,,
Meat,,Original Pizza of Boston,1,34005.2,12550.35,0,0,20026.6,0,0,0,38.49,0,0,0,0,88.18,0,0,0,0,0,1197.33,0,104.25,0,0,0,0
Milk,,Queen's Greens,0,27035.37,,,,,,,,,,,,,,,,,,,,,,,,,"$27,035.37"
Nuts,,Al's Beverage Distributors,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Oils,,North Hadley Sugar Shack,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Pork,,Poplar Hill Farm Inc.,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Potatoes,,"WestSide Foods, Inc.",1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Spices,,Sidehill Farm,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sugars,,New England Meat Packing LLC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,Southern New England Spice Company,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Veg Protein,,Mycoterra Farm,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetables,,"Ground Up, LLC",0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mapleline Farm LLC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,Red Barn Honey Company,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
